test,district,milepost1,milepost2,tracks,maximumSpeed,account,issuedBy,effectiveTimeDifference,untilTimeDifference,expectedFeedback,pressComplete,closeBulletinRelayForm,direction1,direction2
EE.03.03.004.M,AGS North,AG57,AG62,MAIN,,AUTOMATION,AUTOMATION,,,,True,True,Northbound,Southbound
EE.03.03.004.M,AGS North,,,,,,Jackson,,,,True,True,,
EE.05.06.075,AGS North,,,,,,Jackson,,,,True,True,,
EE.05.06.076,AGS North,,,,,,Jackson,,,,True,True,,
EE.05.07.002,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.07.003,AGS North,,,,,,JEPTC,,,,True,True,,
EE.05.07.004,AGS North,,,,,,JEPTC,,,,True,True,,
EE.05.07.005,AGS North,AG46,AG47,MAIN,40,AUTOMATION,AUTOMATION,,,,True,True,,
EE.05.07.006,AGS North,AG50,AG52,MAIN,30,Reason 100,AUTOMATION,,,,True,True,,
EE.05.07.007,AGS North,AG48,,MAIN,30,Children Playing|,AUTOMATION,,,,True,True,,
EE.05.07.008,AGS North,AG48|AG45,AG50|AG46,MAIN,,AUTOMATION,Employee Willy,,,,True,True,Northbound,Northbound
EE.05.07.009,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.07.010,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.07.011,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.07.012,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.07.013,AGS North,AG47,AG48,MAIN,,300 Reason,AUTOMATION,,,,True,True,,
EE.05.07.014,AGS North,AG48,,MAIN,,300 Reason,AUTOMATION,,,,True,True,,
EE.05.07.014,AGS North,AG42,AG43,MAIN,,AUTOMATION,AUTOMATION,,,,True,True,,
EE.05.07.00X.AGXAF,AGS North,99,AG63,MAIN,,AUTOMATION,JEPTC,,,,True,True,,
EE.05.07.00X.AGXFA,AGS North,,AG64,MAIN,,AUTOMATION,JEPTC,,,,True,True,,
EE.05.07.00X.AASR,AGS North,AG54,AG67,MAIN,22,Fun Stuff,AUTOMATION,,,,True,True,,
EE.05.07.00X.ABF,AGS North,AG44,,MAIN,,AUTOMATION,Joe,,,,True,True,,
EE.05.07.00X.AROWC,AGS North,AG98,AG111,,,,AUTOMATION,,,,True,True,,
EE.05.07.00X.ASAF,AGS North,AG47,test,MAIN,,AUTOMATION,Roscoe,,,,True,True,,
EE.05.07.00X.BFP,AGS North,AG47,,MAIN,,Testing,AUTOMATION,,,,True,True,,
EE.05.07.00X.BFA,AGS North,AG50,AG53,MAIN,,Testing,AUTOMATION,,,,True,True,,
EE.05.07.00X.SCSLR,AGS North,AG50,,,,,,,,,True,True,,
EE.05.07.00X.SSS,AGS North,Valley Head,Porterville,,40,,,,,,True,True,,
EE.05.07.00X.XASREP,AGS North,AG41,AG45,MAIN,10,Testing,AUTOMATION,,,,True,True,,
EE.05.07.00X.XASR,AGS North,AG41,AG46,MAIN,11,Hola,AUTOMATION,,,,True,True,,
EE.05.07.00X.ASRJX,AGS North,Valleyhead,Porterville,MAIN,30,Open it up,AUTOMATION,,,,True,True,,
EE.05.07.00X.XBFA,AGS North,AG15,AG17,MAIN,,NO REASON,AUTOMATION,,,,True,True,,
EE.05.07.00X.ZXDM,AGS North,AG60,,,,,JEPTC,,,,True,True,,
EE.05.07.00X.ZXAF,AGS North,AG45,AG61,,,,JEPTC,,,,True,True,,
EE.05.07.00X.ZXFA,AGS North,AG45,AG62,,,,JEPTC,,,,True,True,,
EE.05.07.00X.MRRS,AGS North,AG63,AG42,,,,Sally Automation,,,,True,True,,
EE.05.07.00X.MRTR,AGS North,AG64,AG43,,,,Harry Automation,1,3,,True,True,,
EE.05.07.00X.ILFB,AGS North,AG51,AG54,,,,MH,,,,True,True,,
EE.05.07.00X.ILFC,AGS North,AG53,AG56,tracks,20,Much More info,PTCJE,,,,True,True,,
EE.05.07.00X.ILSR,AGS North,AG54,AG57,,,,,,,,True,True,,
EE.05.07.00X.MIA,AGS North,AG55,AG58,,,,AUTOMATION,,,,True,True,,
EE.05.07.00X.MIP,AGS North,AG56,,,,Testing,PTCJE,,,,True,True,,
EE.05.07.00X.RRCA,AGS North,AG59,,MAIN,,,JEPTC,,,,True,True,,
EE.05.07.00X.RRCP,AGS North,AG45,AG47,,,Access Denied,MURSHEDA,,,,True,True,,
EE.05.07.00X.RRAB,AGS North,AG42,AG47,DIFFERENCE,,ANYTHING,JE,,,,True,True,,
EE.05.07.00X.AMXX,AGS North,AG45,,,,,Automation,,,,True,True,,
EE.05.07.00X.APSR,AGS North,AG46,AG55,AG55,30,Foot 500 Spot,Automation,,,,True,True,,
EE.05.07.00X.DOCT,AGS North,,,,,,JE,,,,True,True,Northbound,
EE.05.07.00X.DOSS,AGS North,AG61,,,,,Employee Jon,,,,True,True,NorthBound,
EE.05.07.00X.EDN,AGS North,Valley Head,Porterville,,,,,,,,True,True,NorthBound,
EE.05.07.00X.GXAFA,AGS North,AG50,AG47,,,,JEPTC,,,,True,True,NorthBound,
EE.05.07.00X.ATOSE,AGS North,AG101,,TRACK NUM 111,,TRACK 223W,Automation,,,,True,True,NorthBound,
EE.05.07.00X.CSF,AGS North,AG49,AG60,,,,,,,,True,True,NorthBound,
EE.05.07.00X.ATOS,AGS North,AG44,,Engine  Flat Tire,,TRACK 223A,AUTOMATION,,,,True,True,NorthBound,
EE.05.07.00X.GAXAFA,AGS North,AG41,AG42,,,,JEPTC,,,,True,True,,
EE.05.07.00X.ROWCA,AGS North,AG44,AG46,,,,AUTOMATION,,,,True,True,,
EE.05.07.00X.ROWCP,AGS North,AG45,,,,,Automation,,,,True,True,,
EE.05.07.00X.KTJB,AGS North,AG55,,,,,Automation,,,,True,True,,
EE.05.07.00X.ILFA,AGS North,AG51,AG52,,,,,,,,True,True,,
EE.05.07.00X.POCGX,AGS North,AG57,,MAIN,,Railroad,,,,,True,True,,
EE.05.07.00X.FUEL,AGS North,AG40,AG41,,,,,,,,True,True,,
EE.05.07.00X.FUELE,AGS North,AG41,AG44,,,,,,,,True,True,,
EE.05.07.00X.FUELN,AGS North,AG43,AG44,,,,,,,,True,True,,
EE.05.07.00X.PDMS,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.07.00X.PDMV,AGS North,,,,,,AUTOMATION,,,,True,True,,
EE.05.06.010,AGS North,AG46,AG47,MAIN,30,Automation,AUTOMATION,,,,True,True,,
EE.05.06.010.I,AGS North,AG46,AG47,MAIN,30,Automation,AUTOMATION,,,,True,True,,
EE.05.06.010.P,AGS North,AG46,AG47,MAIN,30,Automation,AUTOMATION,,,,True,True,,
