Message_Id,Message_Version,Field_Name,Parent_Field,Field_Units,Min_Field_Size,Max_Field_Size,Field_Range,Mandatory,Number_Of_Fields,Optional_Description,Message_Type,Customer,Direction,STEName
RD-BICQ,1,HEADER,RD-BICQ,,,,,Y,,,RUM,,,
RD-BICQ,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-BICQ,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-BICQ,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-BICQ,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-BICQ,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-BICQ,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BICQ,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BICQ,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-BICQ,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-BICQ,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-BICQ,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-BICQ,1,CONTENT,RD-BICQ,,,,,Y,,,RUM,,,
RD-BICQ,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-BICQ,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-BICQ,1,BULLETIN_ITEM_TYPE,CONTENT,Alphanumeric,1,100,,Y,,,RUM,,,
RD-BIIQ,1,HEADER,RD-BIIQ,,,,,Y,,,RUM,,,
RD-BIIQ,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-BIIQ,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-BIIQ,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-BIIQ,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-BIIQ,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-BIIQ,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BIIQ,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BIIQ,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
