Message_Id,Message_Version,Field_Name,Parent_Field,Field_Units,Min_Field_Size,Max_Field_Size,Field_Range,Mandatory,Number_Of_Fields,Optional_Description,Message_Type,Customer,Direction,STEName
CD-AK01,7,HEADER,CD-AK01,,,,,Y,,,PTC,,,
CD-AK01,7,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,PTC,,,
CD-AK01,7,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,PTC,,,
CD-AK01,7,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,PTC,,,
CD-AK01,7,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,PTC,,,
CD-AK01,7,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,PTC,,,
CD-AK01,7,MESSAGE_REVISION,HEADER,Numeric,1,3,0|999,Y,,,PTC,,,
CD-AK01,7,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,PTC,,,
CD-AK01,7,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,PTC,,,
CD-AK01,7,DISTRICT_NAME,HEADER,Alphanumeric,1,25,,N,,,PTC,,,
CD-AK01,7,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,PTC,,,
CD-AK01,7,USER_ID,HEADER,Alphanumeric,1,7,,N,,,PTC,,,
CD-AK01,7,TRACK_FILE_VERSION,HEADER,Numeric,1,10,1|4294967295,N,,,PTC,,,
CD-AK01,7,HTRN_SCAC,HEADER,Alphabetic,1,4,,N,,,PTC,,,
CD-AK01,7,HTRN_SYMBOL,HEADER,Alphanumeric,1,10,,N,,,PTC,,,
CD-AK01,7,HTRN_SECTION,HEADER,Numeric,1,1,1|9,N,,,PTC,,,
CD-AK01,7,HTRN_ORIGIN_DATE,HEADER,Numeric,8,8,,N,,,PTC,,,
CD-AK01,7,HENG_ENGINE_INITIAL,HEADER,Alphabetic,1,4,,N,,,PTC,,,
CD-AK01,7,HENG_ENGINE_NUMBER,HEADER,Numeric,1,10,,N,,,PTC,,,
CD-AK01,7,UID1_TYPE,HEADER,Alphanumeric,1,7,SYNC,N,,,PTC,,,
CD-AK01,7,UID1,HEADER,Numeric,1,10,,N,,,PTC,,,
CD-AK01,7,UID2_TYPE,HEADER,Alphanumeric,1,7,SYNCST|SYNCBI|SYNCTA|SYNCEND,N,,,PTC,,,
CD-AK01,7,UID2,HEADER,Numeric,1,10,,N,,,PTC,,,
CD-AK01,7,CONTENT,CD-AK01,,,,,Y,,,PTC,,,
CD-AK01,7,ACK_MESSAGE_ID,CONTENT,Alphanumeric,1,7,,Y,,,PTC,,,
CD-AK01,7,ACK_SEQUENCE_NUMBER,CONTENT,Numeric,1,13,1|9999999999999,Y,,,PTC,,,
CD-AK01,7,RESPONSE_CODE,CONTENT,Alphabetic,1,6,,Y,,,PTC,,,
CD-AK01,7,TEXT,CONTENT,Alphanumeric,1,255,,N,,,PTC,,,
GD-AK01,7,HEADER,GD-AK01,,,,,Y,,,PTC,,,
GD-AK01,7,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,PTC,,,
GD-AK01,7,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,PTC,,,
GD-AK01,7,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,PTC,,,
GD-AK01,7,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,PTC,,,
GD-AK01,7,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,PTC,,,
GD-AK01,7,MESSAGE_REVISION,HEADER,Numeric,1,3,0|999,Y,,,PTC,,,
GD-AK01,7,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,PTC,,,
GD-AK01,7,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,PTC,,,
GD-AK01,7,DISTRICT_NAME,HEADER,Alphanumeric,1,25,,N,,,PTC,,,
GD-AK01,7,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,PTC,,,
GD-AK01,7,USER_ID,HEADER,Alphanumeric,1,7,,N,,,PTC,,,
GD-AK01,7,TRACK_FILE_VERSION,HEADER,Numeric,1,10,1|4294967295,N,,,PTC,,,
GD-AK01,7,HTRN_SCAC,HEADER,Alphabetic,1,4,,N,,,PTC,,,
GD-AK01,7,HTRN_SYMBOL,HEADER,Alphanumeric,1,10,,N,,,PTC,,,
GD-AK01,7,HTRN_SECTION,HEADER,Numeric,1,1,1|9,N,,,PTC,,,
GD-AK01,7,HTRN_ORIGIN_DATE,HEADER,Numeric,8,8,,N,,,PTC,,,
GD-AK01,7,HENG_ENGINE_INITIAL,HEADER,Alphabetic,1,4,,N,,,PTC,,,
GD-AK01,7,HENG_ENGINE_NUMBER,HEADER,Numeric,1,10,,N,,,PTC,,,
GD-AK01,7,UID1_TYPE,HEADER,Alphanumeric,1,7,SYNC,N,,,PTC,,,
GD-AK01,7,UID1,HEADER,Numeric,1,10,,N,,,PTC,,,
GD-AK01,7,UID2_TYPE,HEADER,Alphanumeric,1,7,SYNCST|SYNCBI|SYNCTA|SYNCEND,N,,,PTC,,,
GD-AK01,7,UID2,HEADER,Numeric,1,10,,N,,,PTC,,,
GD-AK01,7,CONTENT,GD-AK01,,,,,Y,,,PTC,,,
GD-AK01,7,ACK_MESSAGE_ID,CONTENT,Alphanumeric,1,7,,Y,,,PTC,,,
GD-AK01,7,ACK_SEQUENCE_NUMBER,CONTENT,Numeric,1,13,1|9999999999999,Y,,,PTC,,,
GD-AK01,7,RESPONSE_CODE,CONTENT,Alphabetic,1,6,,Y,,,PTC,,,
GD-AK01,7,TEXT,CONTENT,Alphanumeric,1,255,,N,,,PTC,,,
CD-EA01,7,HEADER,CD-EA01,,,,,Y,,,PTC,,,
CD-EA01,7,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,PTC,,,
CD-EA01,7,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,PTC,,,
CD-EA01,7,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,PTC,,,
CD-EA01,7,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,PTC,,,
